,source,target,edge
210,That,All,Provided
211,Fcc,Right,Assign
212,Party,Termination,Agree
213,Unauthorized  Assignment,Totally  Contract,Assign
214,Assignee,Financial  Capacity,Ha
215,Assignee,Crude,Ha
216,Party,Agreement,Sell
217,Party,Right,Assign
218,However  Right,Assign,Provided
219,Otherwise  Shipper,Agreement,Assign
220,Green Cros,Sublicense,Grant
221,Party,Right,Assign
222,Beforehand Party B,Cooperation Busines,Transfer
223,Party B,Breaching  Liability,Deemed A
224,Party,Right,Assign
225,Party,Only  Activity,Subcontract
226,Bli,Otherwise  Right,Sublicense
227,Party,Agreement,Withheld
228,Below Nantz Communication,Any,Assign
229,Right,Company,Hereunder
230,Party,Right,Assign
231,Agreement,Right,I
232,Company,Otherwise  Affiliate,Subcontract With
233,Company,Affiliate,Use
234,However  Janssen,Agreement,Assigned
235,However  Party,Any,Assign
236,King,Otherwise  Any,Assign
237,Agreement,Herein,Be Assignable
238,Franchise,Area,Granted
239,Right,Right,Hereunder
240,You,Such  Right,Grant
241,Legal  Which,Directly  Interest,Sell
242,Purported  Assignment,Material  Breach,Be Null
243,Disposition,Interest,Transfer
244,Who,B  Termination,Terminated At
245,Limited Power,Respective  Successor,Bind
246,However  Party,Agreement,Assigned By
247,Party,Right,Have
248,Nvo,Right,Have
249,However  Party,Unreasonably  Consent,Provided
250,Agreement,Respective  Assign,Binding Upon
251,Which,Such  Conduct,Assigned By
252,Unreasonably  Party,Agreement,Assigned By
253,Assignment,Consent,Require
254,Agency,Agreement,Assign
255,Party,Otherwise  Any,Assign
256,Party,Otherwise  Any,Be Void
257,Agreement,Respective  Assign,Provided
258,Md Anderson,Any,Subcontract
259,Party,Agreement,Assign
260,Party,Right,Transfer
261,Party,Otherwise  Right,Rights Under
262,Subcontractor,Right,Assign
263,Service,Any,Are Of
264,License,Hereunder,Is Specific
265,Intricon,Any,Assign
266,Dynamic  Hearing,Any,Assign
267,Lbio,Agreement,Assign
268,Md Anderson,Otherwise  Consultant,Acknowledge
269,Party,Agreement,Assign
270,Case,Any,Be
271,Company,Any,Subcontract
272,Party,Otherwise  Any,Assign
273,Party,Otherwise  Any,Binding Upon
274,Party,Any,Assign
275,Party,Right,Have
276,Unauthorized  Attempt,Portion,Be Void
277,Ontochem,One  Subcontractor,Engage
278,Party,Otherwise  Agreement,Assign
279,However  Party,Agreement,Assigned
280,Party,Agreement,Assign
281,Agreement,Agreement,Be Assignable
282,Party,Right,Assign
283,None,Any,Assign
284,However  Party,Legal  Assign,Binding Upon
285,Party,Whole,Assign
286,However  Cere,Right,Have
287,Party,Right,Have
288,However  Cere,Right,Have
289,Party,Right,Have
290,Neither,Hereto  Right,Assign
291,Arizona,Any,Assign
292,Respective  Successor,Assign,Binding Upon
293,Herc,Obligation,Assign
294,Party,Otherwise  Any,Sell
295,Party,Ip Agreement,Assign
296,Applicable Seller Party,Licensed  Ip,Cause
297,2.1(D  Purchaser,Applicable Purchaser Assignee,Cause
298,Party,Agreement,Assign
299,However  Agreement,Omitted Alliance Agreement,Assigned Ordelegated
300,Distributor,Right,Assign
301,Distributor,Agreement,Assign
302,Assignment,Product,Be
303,Distributor,All,Assign
304,Agreement,Product,I
305,Other  Assignmentby,Written  Consent,Require
306,"Intheeventeitherparty(A)Becomesadjudicated Insolvent,(B",Busines,Discontinue
307,Distributor,Itsbusiness Asset,Omitted
308,Shipper,Right,Have
309,Assignment,Written  Notice,Be Effective
310,Party,Contract,Assigned In Whole
311,Party,Agreement,Assign
312,Adams Golf,Right,Have
313,Ki  Inc.May,Right,Assign
314,Right,Company,Used
315,Company,Agreement,Beentitled
316,Tpc,Consolidated Right,Have
317,Right,Company,Used
318,Pey Dirt,Right,Have
319,Party,Agreement,Assign
320,Party,Agreement,Assign
321,Purported  Assignment,Written  Consent,Be Null
322,You,Interest,Transfer
323,Noprincipalshalldirectlyor,Legal Orbeneficialequity Interest,Assign
324,17.1(K).If  Bkc,Right,Be Void
325,You,Franchise,Understand
326,Purported  Assignment,Written  Consent,Be Null
327,You,Further  That,Covenant
328,You,Reason,Intend
329,You,Interest,Agree
330,You,Interest,Considered In
331,Transfer,Breach,Constitute
332,Proposed New Owner,Together  Transfer,Met Before
333,You,Amount,Pay
334,Proposed New Owner,Initial Training Program;(D,Be Responsible
335,Me,Installment Payment,Enter Into
336,Proposed New Owner,All,Agree
337,You,Performance,Require
338,You,Properly  Opportunity,Offered
339,However  Assignment,Written  Notice,Be Effective
340,Customer,Agreement,Withheld
341,Party,Agreement,Assign
342,Host,Right,Have
343,Party,Any,Assign
344,Party,Agreement,Assign
345,Party,Agreement,Assign
346,Customer,Agreement,Assign
347,Hereto  Party,Agreement,Transfer
348,However  Party,Agreement,Provided
349,Purported  Assignment,Interest,Be Void
350,However  Apollo,Agreement,Assign
351,Attempt,Agreement,Withheld
352,Columbia,Consent,Deemed Unreasonable
353,Party,Any,Assign
354,Bachem,Agreement,Assign
355,Bachem,Any,Assign
356,Iac,First  Approval,Notify
357,Party,Right,Assign
358,Party,Any,Assign
359,Party,Right,Have
360,Operator,Assignment,Make
361,Owner Shallnot,Assignment,Make
362,Licensee,Licensed  Program,Sell
363,Licensee,Right,Agree
364,Licensee,Agreement,Assign
365,License Right,Agreement,Be Void
366,Sparkling,Omitted>(C)Not  Agreement,Assign
367,Party,Agreement,Assign
368,Service Provider,Pledge,Be Null
369,Assigningparty,Groupmaydecidethat Theassigningpartywill Notremainjointlyandseverallyliablewiththeassigneefortheperformanceofthisagreement,Provided
370,Party,Thewhole,Withheld
371,Party,Any,Assign
372,Such  Assignment,Right,Entitled
373,Customer,Rights Orobligation,Assign
374,Company,Right,Sell
375,Operator,Assignment,Make
376,Owner,Assignment,Make
377,Otherwise  Party,Agreement,Assign
378,Hemispherx,Agreement,Assigned
379,Event,Any,Mean
380,10.6  Monsanto,Right,Have
381,Such  Assignee,11.8  >,Be Subject
382,Agent,Right,Transfer
383,Party,Agreement,Assign
384,Agreement,Party,Inure To
385,Assignment,Party,Inure To
386,20.2  Party,License,Subject To
387,Surgical,Agreement,Assign
388,Party,Agreement,Assign
389,Party,Agreement,Assign
390,Nothing,Right,Binding Upon
391,Party,Agreement,Assign
392,Attempt,Agreement Otherthan,Be Null
393,Party,Right,Bindingupon
394,22  Party,Agreement,Assign
395,Unreasonably  Ticket,Agreement,Assigned By
396,Agreement,Any,Is Personal
397,Detto,Any,Assign
398,Agreement,Respective  Successor,Bind
399,Reseller,Right,Acknowledge
400,Unreasonably  Reseller,Agreement,Assign
401,Diversinet,Agreement Atany Agreement Time,Assign
402,Licensor,Any,Subcontract
403,Party,Any,Transfer
404,However  Party,Agreement,Provided
405,Unreasonably  Party,Right,Assigned
406,Party,Supply Agreement,Assign
407,Agreement,Right,Be Assignable
408,Party,Other  Party,Be Void
409,Healthgate,Whole,Transfer
410,Party,Development Agreement,Assign
411,Which,Duty,Be Voidable
412,Which,Duty,Be Voidable
413,However  Licensor,Agreement,Assign
414,"15,000).The Option",Fifteen Thousand,Exceed
415,Attempt,Option,Be Void
416,Customer,Third Party Acces,Agree
417,Of  Asset,Agreement,Said
