,edge,source,target
168,Own,Party A,Sole  Right
169,Assigns To,3.2 Assignor Party,All
170,Seller,Seller,Hereby  Covenant
171,Sell,Seller,Hereby  Transfer
172,Agrees To,2.1(B)(I  Seller,Other Seller Party
173,Agree,Company,Otherwise  Right
174,Agree,Company,Otherwise  Right
175,Assign,Below  Array,Right
176,Take,So  Ono,Reasonable  Action
177,Retain,Achaogen,Right
178,Retain,Microgenic,Right
179,Own,Achaogen,Discovery
180,Own,‚ Äúachaogen Inventions‚Äù).Microgenic,Invention
181,Own,Microgenic,All  Right
182,Assign,That,Reference
183,Agree,Franchisee,Additional  Document
184,Assigns To,Paragraph 5.12.The Franchisee,Such  Right
185,Grant,21  22)You,Such  Idea
186,Have,I,Right
187,Agree,You,Other  Person
188,Agree,You,That
189,Retain,One,Ownership Right
190,Have,One,Otherwise  Claim
191,Assigns To,Inktomi,[  Interest
192,Owned By,Project Which,Expressly Bachem Intellectual Property
193,Be On,Product Customization,Using  Meaning
194,Arise Through,Iac >,Further  Instrument
195,Secure,Iac,Any
196,Assign,Assignor,Hereby  Transfer
197,Transferred,Ppi,Domain Name
198,Provide,Ppi,Ekr
199,Agree,Surgical,Such  Document
200,Tobe,Reseller,Right
201,Assign,Healthgate,Present  Copyright
202,Assign,Recipient,Hereby  Right
203,Grants To,Recipient,Right
204,Agree,Recipient,Further  Documentation
205,Assign,Recipient,Hereby  Right
206,Grants To,Recipient,Right
207,Agree,Recipient,Further  Documentation
208,Provide,Such  Policy,Protection
209,Agree,Musclepharm,As Certificate
210,Be Responsible,Musclepharm,As Party
211,Be Responsible,Musclepharm,Deductible
212,False General,Party,General Liability Insurance
213,Provide,Party,Written  Proof
214,Add,Supplier,Distributor
215,Maintain,Supplier,Product Liability Insurance
216,Maintain,Franchisee,Policy
217,Is Responsible,Customer,Personal Property Insurance
218,Obtain,Artara,General Liability Insurance
219,Identify,Insurance,University Indemnitee
220,Have,University,Right
221,Include,Insurance,Coverage
222,Include,Such  Insurance,Additionally  Error
223,Made,Artara,University
224,Maintain Comprehensive,Party,General  Liability
225,Provide,Party,Certificate
226,Furnish,Company,Jhu
227,Maintain,I,Insurance Coverage
228,Require,Ii,Subcontractor
229,Provide,Vendor,Least  Thirty
230,Represent,Insurance,Coverage
231,Include,Policy,Waiver
232,Add,State Run Vendor,Gap Employers Liability
233,Assumed Under,False General Aggregate,Liability
234,Maintain,Applicable  Vendor,Products Completed Operation
235,Provide,Vendor,Copy
236,Have,Explosion,Same Limit Requirement
237,Limit For,Vendor,Property Coverage
238,Maintain,Vendor,Property Insurance
239,Maintain In,Operator,Following  Insurance
240,Agree,Customer,Specifically Insurance Coverage
241,Insured,It,Such  Insurance
242,Assumed By,Manufacturer,Such Insurance Coverage
243,Furnish To,Manufacturer,Required Insurance Coverage
244,Written For,Whichever,Herein
245,Have,Insurance Carrier,Minimum
246,Said,Insurance,Following
247,Occurrence,Jones Act,Personal Operations Coverage
248,Insurance,Non-,Vehicle
249,Carry Appropriate,Party,Commercially  Amount
250,Workers‚Äô,Xspa,Special Form Property Stock
251,Participate In,Such  Insurance,Personal Operations Coverage
252,Maintain,Xspa,Coverage
253,Provide To,Xspa,Such  Insurance
254,Provide,Certificate,Written  Notice
255,Have,Insurer,Best‚Äôs Insurance Rating
256,Provide,Each,Other  Party
257,Request,Party,Additional Insurance Coverage
258,Acknowledge,Party,General Liability Obligation
259,Each,Mmt,General Liability Insurance
260,Aggregate,Annual  Each,Other  Party
261,Maintain Such,Mmt,Such  Insurance
262,Maintain,Party,Following  Policy
263,Provide,Other  Party,Requesting  Party
264,Provide,Applicable  Party,Other  Party
265,Secure,Constellation,]
266,Provide,Constellation,Hof Entity
267,Obtain,Party,Compensation Employer‚Äôs Liability Insurance
268,Have,Sponsor,Own Liability Insurance
269,Maintain Throughout,Manufacturing Company,Product
270,Maintain,Customer,Product Liability Insurance
271,Be,Association,30 Days‚Äô Notice
272,Maintain,Party,Minimum  Type
273,Requires Alternate,Based  Coverage,Alternate Employer Endorsement
274,Have At,Insurer,Financial  Rating
275,Be,Insurance,That
276,Provide,Insuring  Party,It
277,Purchase Sufficient,Party B,Sufficient  Insurance
278,Lower Than,Party B,Purchase Injury Insurance
279,Ensure,Company,Waiver
280,Furnish To,Company,Written  Notice
281,Maintainwith,Ncm,Insurance
282,Name,Party,Other
283,Procured,Network,General Liability Insurance
284,Procure On,Additionally  Network,Network‚Äôs Media Activity
285,Secure,Bizzingo,Insurance Policy
286,Agree,Company,Comprehensive Liability Insurance
287,Be Les,Clinical Trials Insurance Coverage,Adequate  Obligation
288,Provide,Aimmune,Xencor
289,Provide,Aimmune,Xencor
290,Obtain,Developer,Insurance Coverage
291,Carry Such,Developer,Such Compensation Insurance
292,Contain,Public  Liability,Property Damage Provision
293,Provide,Policy,Franchisor
294,Procure Such,Franchisor,Such  Coverage
295,Obtain,Party,Full  Force
296,Issued By,Such  Insurance,Other  Party
297,Be,Minimum  Limit,Employee
298,Provided,Party,Employee
299,Include,General Liability Insurance,Clinical Trial Insurance
300,Provide,Other  Party,Certificate
301,Be Under,Insurance Policy,Such  Insurance
302,Obtain,Lea,Necessary  Insurance
303,Obtain,Eutectix,Insurance Meeting
304,Broad-,$  Occurrence,Independent Form Property Damage
305,Cover,Such  Insurance,Prior  Act
306,Commencing A,Below  Party,Insurance Coverage
307,Performed,Other  Following,Following  Type
308,Combined Single,Completed Aggregate,Single Personal Limit
309,Obtain Such,Pb,Such Trials Liability Insurance
310,Obtain,Who,Professional Liability Insurance
311,Include,Party,Other  Party
312,Be Responsible,Pb,Product Liability Insurance
313,Procure,Party,Insurance
314,Provide,Party,Other  Party
315,Completed,Single  Limit,‚ Operations Coverage
316,Placed With,That,A.M.Best  Rating
317,Provide,Qualigen,Sekisui
318,Agree,Party,Liability Insurance
319,Carry Reasonable,Ii,Reasonable  Amount
320,Maintain At,Distributor,Us$ 5 Million
321,Name,Distributor,Staar
322,Provide,Distributor,Staar
323,Maintain,Party,Product Liability
324,Provide,Party,Certificate
325,Procure,John‚Äô,Reasonable  Effort
326,Submit To,Fully Papa John‚Äô,Each
327,Form Exces,Comprehensive Automobile Liability,Excess Liability Insurance
328,Obtain,You,Appropriate Insurance Coverage
329,Maintain Such,You,Such  Type
330,Written By,I,Me
331,Include,Such  Policy,Following
332,Issue,Approved Insurance Company,Certificate
333,Include,Certificate,Statement
334,Supply,You,Me
335,Send,Year  You,Current  Certificate
336,Cause,You,General Liability Insurance
337,Be In,Such  Insurance,Me
338,Cause,You,Compensation
339,Maintain At,Ef,General Liability Insurance
340,Carried With,6  7)Ef,Busines
341,Include,Such  Notice,Written  Confirmation
342,Be Responsible,Party,Compensation Insurance
343,Maintain,Party,False General Liability Insurance
344,Maintain,Heritage,Insurance
345,Liability,Employer,$
346,Determined,Single  Limit,Product
347,Maintain At,Franchisee,A.M.Bestcompanyrating
348,State,That,Proof
349,Include,Such  Insurance,Joint Loss Endorsement
350,Procure At,You,Insurance You
351,Written By,Deductible  Clause,Risks Coverage Insurance
352,Agree,You,Proper  Existence
353,State,That,Prior  Notice
354,Insure,Merchant,Additional Agent Merchandise
355,Limited To Commercial,All,Public Umbrella Liability Injury
356,Deliver To,Merchant,Such Insurance Duration
357,Require,Such  Policy,Least  Thirty
358,Make,Merchant,Change
359,Name,Such  Policy,Also  Purchaser
360,Require,Such  Policy,Least  Thirty
361,Make,Merchant,Change
362,Maintain,Agent,General Liability Policy
363,Deliver To,Agent,Such Insurance Policy
364,Be Responsible,Agent,Change
365,Maintain In Full,Employee,Workers‚Äô Compensation Insurance
366,Maintain,Contractor,Workers Compensation Insurance
367,Provide,Contractor,Company
368,Is Subject,Participation,Normal Underwriting Requirement
369,Have,Company,Right
370,Obtain,Racing,Andhired Automobile Liability Vehicle
371,Provide Comprehensive,Racing,Comprehensive  Fire
372,Provide,Racing,Certificate
373,Obtain,Racing,Below:(I
374,Covering,False General Liability,Liability
375,Compensation‚Äîstatutory,Worker,Limit
376,"Liability‚Äî$5,000,000",Employer,Employee
377,Covering,False General Liability,Liability
378,Compensation‚Äîstatutory,Worker,Limit
379,"Liability‚Äî$5,000,000",Employer,Employee
380,Endorsed,Racing‚Äôs Liability Policy,- Liability Coverage
381,Provide,Racing,Sponsor
382,Provide,Certificate,Thirty Days‚Äô¬†Priorwritten Notice
383,Represent,Sponsor,Coverage Limit
384,Maintain,Insurer,Following Insurance Coverage
385,Furnish,Which,Other  Party
386,Maintain,Vendor,Insurance
387,Maintain Commercial,Vendor,General  Liability
388,Written On,Coverliability,Equivalent  Coverage
389,Maintain In,Dolphin,$  Any
390,Maintain In,Hydron,$  Any
391,Maintain,Contractor,Insurance
392,Maintain,Vip,Disaster Business Insurance
393,Maintain,Company,Products Liability Insurance
394,Are,Insurance Coverage,Best‚Äôs  Rating
395,Provide Documentary,A).The  Bsp,Documentary  Evidence
396,Maintain,Contractor,Service
397,Keep,Contractor,Policy
398,Maintain At,M&I,False General Liability Premises
399,Maintain,Metavante,Compensation
400,Cover,Such  Insurance,Prior  Act
401,Maintain,Wyzz,Cost Casualty Replacement Cost Insurance
402,Maintain,Nexstar,Casualty Replacement Insurance
403,Procure With Sound,Schoolpop,Following Insurance Compensationinsurance
404,Insured By,Insurer,Risk Insurance
405,Provide,Company,Repairer
406,"And,(Ii",Subcontractor,Products Liability Insurance
407,Maintain,Keeper Liability Repairer,One  Occurrence
408,Supply,Company,Repairer
409,At,Supplier,Continuously  Subcontractor
410,State,Certificate,Amount
411,Pay,Supplier,Any
412,Waive,Supplier,Subrogation
413,Include,Policy,Completed Operations Coverage
414,Be Responsible,Supplier,Bond Customer Coverage
415,Maintain,Cbc,13 14)Without 13 Prejudice
416,Furnish,Cbc,Mediwound Certification
417,Comply With,Philip,Required  Level
418,Maintain At,Party,Adequate  Amount
419,Increase,Party,Level
420,Provide,Party,Other  Party
421,Agree,Fcc,"$  5,000,000"
422,Obtain,Performance Insurance Policy,Necessary  Bond
423,Purchase,Party,Coverages:(A)Cargo Liability Insurance
424,Named As Anadditional,Policy,Crossliability
425,Cover,Policy,Air  Operation
426,Ofinsurance,Required Insurance Coverage,Written  Notice
427,Maintain,Party,Insurance Coverage
428,Ensure,Party,Service
429,Obtain,Party,Full  Force
430,Be Under,12.4 Insurance).The Insurance Policy,Compliance
431,Agree,Company,"$  5,000,000"
432,Agree,Company,"$  25,000,000"
433,Have,Bii,Right
434,Acquire,Joint Venture,Insurance
435,Maintain,Party,I
436,Undertake,31  Depomed,Insurance Broker
437,Provide,Party,Certificate
438,Maintain In,You,Insurance Coverage
439,Maintain,You,Insurance
440,Include,Such Insurance Coverage,General Liability Coverage
441,Have,Such  Insurance,Self  Retention
442,Maintain Such,You,Additional  Insurance
443,Increase,I,Periodically  Amount
444,Name,Insurance Policy,A  U
445,Be Primary,Which,Coverage
446,Provide,You,Me
447,Furnish,You,Me
448,Have,I,Right
449,Affected In,Maintenance,Insurance Coverage
450,Obtain Such,You,Such  Coverage
451,Obtain,Gsk,Written  Proof
452,Take,Joint Venture Company,Required  Insurance
453,Maintain,Party,Adequately Products It
454,Provide To,Party,Certificate
455,Acquire,Venture,Insurance
456,Provide Civil,Party,Civil Liability Insurance Cover
457,Carry,Company,Insurance
458,Maintain Valid,Agency,Valid  Error
459,Provide,Agency,Copy
460,Maintain,Company,Liability Liability Insurance
461,Name,Such Liability Insurance Policy,Company
462,Name,Liability Insurance Policy,Agent
463,Furnish To,Party,Certificate
464,Carry,Blue Hills Party,Insurance
465,Ha,It,Reason
466,Name,14)Such  Policy,Zanotti
467,Provide Such,Eachparty,Such  Evidence
468,Maintain In Full,Adaptimmune Limited,Annual  Aggregate
469,Provide,Adaptimmune,Md Anderson
470,Ha,Md Anderson,Financial  Obligation
471,Obtain At,Subcontractor,Insurance
472,Acknowledge,Subcontractor,Right
473,Constitute,That,Approval
474,Include,Thereof  Insurance,Coverage
475,Have,General Liability,‚ Äúper Location
476,Follow,Following Subcontractor Classification,Umbrella Excess Liability Form
477,Indemnify,5  Company,Former Hoc Director
478,Maintain,Company,Policy
479,I.,It,Still  Book
480,Maintain Comprehensive,Kallo,General  Liability
481,Have,Applicable  Company,Nominated  Tf
482,Represent,It,Vs  That
483,Maintain,Party,Liability Insurance
484,Furnish To,Party,Such  Insurance
485,Maintain,Party,Product Liability
486,Provide,Party,Certificate
487,Secure,Party,Limit
488,False General,Such  Insurance,General  Liability
489,Administer,Stw,Necessary  Insurance
490,Be Acceptable,All,Protection
491,Agree,Herc,Thc
492,Perform,Herc,Carry
493,Itcarriesgeneralliabilityinsurance Of,It,Sierra
494,Carry,Company,Reasonableamount
495,Makereasonableeffortstoprocure,Companywill,Policy
496,Agree,Party,Other
497,Obtain Comprehensive,Buyer,General Liability Coverage
498,Procure,Carrier,Liability Insurance
499,Covenant,It,Owner That
500,Agree,Diplomat,Product Liability Insurance
501,Provide,Company,Liability Insurance Advertising Injury Coverage
502,Provide,Such Insurance Policy,Such  Policy
503,Agree,Company,$ Three Million Licensor
504,Submit To,Hereof  Company,20  Day
505,Agree,Company,"$  3,000,000"
506,Maintain,Party,Liability Liability Insurance
507,Carry,Company,Insurance
508,Name,Such  Insurance,Specifically  Bp
509,Name,Such  Policy,Airsopure
510,Required From,Evidence,Statement
511,Be With,Such  Insurance,Minimum  Rating
512,Have,I,Option
513,Name,Policy,Bkc
514,Agree,You,Activity
515,Written By,I,Rating
516,Combined Single,Automobile Liability Insurance,Single  Limit
517,Insurance With,Which,Total
518,Obtain,You,Also Flood Insurance Coverage
519,Agree,You,General  Contractor
520,Days Before,You,First  Insurance
521,Name,Additional  Certificate,Above  Me
522,Include,40)Such  Interest,Right
523,Omitted,<,>
524,Purchase Such,You,Such Insurance Coverage(
525,Be In Reasonable,Deductible,Approval
526,Provide,You,Me
527,Furnish,You,Me
528,May,You,Such Insurance Coverage
529,Maintain,10.8  You,Any
530,Have,I,Right
531,Maintain,Inktomi,Insurance
532,Obtain,Party,General Liability Insurance
533,Provided In More,Claim,Form
534,Have Annual,Such  Insurance,Annual Aggregate Limit
535,Indicate,A,Prior  Notice
536,Maintain Comprehensive,Fleet,General Liability Insurance
537,Maintain Such,Party,Such  Insurance
538,Statement Of,Who,Activity
539,Have,That,Insurance Policy
540,Expire,Agreement,Active  Policy
541,At,Medica,One Insurance Policy
542,Furnish,Medica,Vapotherm
543,Written,Business Day,Prior  Notice
544,Have,Vapotherm,Right
545,Famish,Vapotherm,Medica
546,Written,Business Day,Prior  Notice
547,Maintain Statutory,Operator,Statutory Worker‚Äôs Compensation Insurance
548,Maintain Employer‚Äô,Operator,Employer‚Äôs  Liabilityinsurance
549,Maintain,Operator,Operation
550,Attempt,Operator,Indemnification  Protection
551,Require,Operator,Each
552,Require,Operator,Each
553,Maintain,Operator,Commercial Automobile Insurance Coverage
554,Maintain,Operator,Liability Insurance Coverage
555,Omitted,<,22.1.1¬†Employer‚Äôs Liability Insurance
556,Provide,Service Provider,Certificate
557,Provide,Service Provider,General Liability Insurance
558,Provide,Service Provider,Single Policy Limit
559,Provide,Service Provider,Excess Liability Insurance
560,Endorsed,It,Owner
561,Agree,Managing Group,Part
562,Provide,Sap Africa,Insurance
563,Obtain,Provider,Appropriate Liability Insurance
564,Willname,Insurance Policy,Company
565,Maintain,Operator,Following Insurance Coverage
566,Maintain Statutory,Operator,Statutory Worker‚Äôscompensation Insurance
567,Maintain Employer‚Äô,Operator,Employer‚Äôs Liability Insurance
568,Waive,Operator,Right
569,Maintain,Operator,General Liability Insurance
570,Maintain,Operator,Commercial Automobile Insurance Coverage
571,Maintain,Operator,Liability Insurance Coverage
572,Provide Primary,Policy,Primary  Coverage
573,Agree,Operator,Each
574,Maintain Full,Agent,Full  Insurance
575,Arrange,Oak Ridge,Product Liability
576,I,Such  Exception,Material Adverse Effect
577,Is In,12 13)Each Insurance Subsidiary,Business
578,Omitted,>,Property Damage
579,Maintain,Party,Nature
580,Maintained For,Such  Insurance,Availability
581,Provide To,Party,Herein
582,Represent,Broker Dealer,Andwarrant
583,Maintain,Company,Insurance
584,Insuresagainst Such,Such  Insurance,Such  Loss
585,Maintain Such,"$ 5,000,000).Each Party",Such  Insurance
586,Provide At,Sabco,Throughout---------
587,Supply,Sabco,Prolong
588,Obtain,C.  Sponsor,Following  Insurance
589,Contain,All,Cross Liability Endorsement
590,Obtain,Sponsor,Sponsor‚Äôs  Liability
591,Maintain,Sponsor,Required Workers Compensation Insurance
592,Subscribe For,Reseller,Term
593,Ensure,Reseller,Such  Insurancecoverage
594,Include,Policy,Provision
595,Maintain,Supplier,Insurance
596,Liability,Employer,"$  500,000"
597,Furnish,Supplier,Buyer
598,Said,Certificate,Supplier‚Äôs Insurance Carrier
599,Constitute,Failure,Breach
600,Provide To,Supplier,Certificate
601,Maintain,Each,Basi
602,Maintain,Each,Basi
603,Agree,Party,Other  Party
604,Agree,Party,Written  Notice
605,Use,Hereunder  Supplier,Reasonable  Effort
606,Maintain In Full,Each,General Liability Insurance Policy
607,Procure,Party,Insurance
608,Provide,Party,Other
609,Provide,Party,Other
610,Agree,Party,Indemnification Obligation
611,Agree,Netgear,Insurance Coverage
612,Include,Insurance,Compensation Insurance
613,Furnish,Netgear,Applicable  Certificate
614,Agree,Professional,Comprehensive Liability Company
615,Require,Company,Professional
616,Keep Accurate,Ma,Accurate  Record
617,Have,Thereafter  Roger,Right
618,Conduct,Prior  Audit,Balance
619,Pay,Licensor,Cost
620,Have,Party,Accounting Period Accounting Right
621,Have,As Party,Right
622,Reimburse,Musclepharm,As Party
623,Times During,Musclepharm,A
624,Have,Independent  Who,Public  Right
625,Have,Auditing Party,Right
626,Be Without,Exercise,Such  Accepting
627,Cause,Party,Audit Right
628,Permit,Party,Public Accounting Firm
629,Permit,Fce,Which
630,Cause,Fce,Documentation
631,Provide Reasonable,Distributor,Reasonable  Assistance
632,Provide,Additionally  Distributor,Jrv
633,Afford To,Distributor,Full  Acces
634,Have,Franchisor,Right
635,Be Under,Franchisee,Information
636,Provide,University,Artara
637,Provide,Cytodyn,Vyera
638,Be Available,Such  Record,Accuracy
639,Make,Company,Datum
640,Have,Jhu,Right
641,Have,At&T,Governmental  Right
642,Record,Vendor,That
643,Provide,Below  Vendor,Audit
644,Include,Scope,I  Practice
645,Include,Acces,Supporting  Right
646,Conducted,Who,Busines
647,Cooperate,Vendor,Reasonably At&T Audit
648,Provide,Vendor,At&T
649,Permitted,Agreement,Such  Audit
650,Work With,Vendor,Cooperation
651,Use Reasonable,Vendor,Best  Effort
652,Conduct,Vendor,Audit
653,Provide,Then  Vendor,List
654,Renegotiate,Then  Vendor,Contract
655,Conduct,Vendor,Audit
656,Provide,Vendor,At&T
657,Permit,Contractor,Customer
658,Inspect,Neurobo,Manufacturing Dong Facility
659,Have,Kitov,Right
660,Understood,Nothing,4.12  Customer
661,Addendum.(Page,Such Quality Inspection,Acces
662,Conduct,Herein  Customer,Periodic Quality Compliance
663,Provide,Manufacturer,Customer
664,Audit,Customer,Record
665,Audit Such,Customer,Such  Record
666,Have,Todo,Right
667,Ha,Vertex,Right
668,Inspect,Representative,Such  Book
669,Have,Calm,30  Day
670,Inspect,Representative,Such  Book
671,Engage,Calm,Third  Party
672,Have,Customer,Right
673,Be Absolute,However Observation Acces,Confidentiality Obligation
674,Restricted From,It,Part
675,Permit,Other Auditing Party,Public Accounting Firm
676,Permit,Audited Party,Report
677,Have,Valeant,Right
678,Bear,Valeant,Cost
679,Have,Dovum,Right
680,Include,Audit Right,Sales Representative
681,Bear,Dovum,Cost
682,Require,Mmt,Sublicensee
683,Exercised,Audit Report,Rise
684,Become Final,Audit Report,Written  Notice
685,Have,Siga,Authorized  Right
686,Maintain,Cht,Book
687,Provide,Cht,Ehave
688,Provide To,Cht,Assistance
689,Conducted,Calendar Year Foregoing Limit,Overcharge
690,Kept Confidential,Confidential,Confidentiality Obligation
691,Conduct,Ehave,Result
692,Allow,Constellation,Relevant Constellation Record
693,Furnish,Fund,Also  Integrity
694,Have,Company,Right
695,Make,Party,Tsa Record
696,Exercised By,That,Tsa Record
697,In,Reviewing  Party,Right
698,Provided,Such  Acces,Dispute
699,Retain,Rghl,Book
700,Give,Servicer,Issuer
701,Give,Custodian,Servicer Acces
702,Give,Custodian,Depositor
703,Conducted At,That,Disruption
704,Exceed,Frequency,One  Audit
705,Have,Licensor,Right
706,Entitled At,Premise,Such  Premise
707,Have,Party,Right
708,Require,Such  Audit,Carrier
709,Allow,Certified Auditing Public,Accounting Firm
710,Inspect,12  Month,Such  Record
711,Pay,I Escrow,Immediately  Cost
712,Have,Party,Theright
713,Have,Thereafter  Verticalnet,Right
714,Give Reasonable,Verticalnet,Reasonable Advance Notice
715,Have,6  Verticalnet,Right
716,Give Reasonable,Verticalnet,Reasonable Advance Notice
717,Have,Party,Auditing Right
718,Cause,Auditing Party,Audit
719,Give Reasonable,Auditing Party,Written  Notice
720,Have,Party,Auditing Right
721,Have,Nettaxi,Right
722,Have,- Billing Party,Right
723,Inspect Such,Months  Party,Such  Record
724,Permit,Mbe,Also  Company
725,Have,Ncm,Authorized  Right
726,Provide To,A.  Party,Applicable Product Suite Sale
727,Initiated,Then  Quarterlyreport,Accuracy
