,source,target,edge
112,That  Macrogenic,Datum,B
113,12.3 ‚ Äúintellectual Property‚Äù,Patent,Mean
114,Ginkgo,One,Will
115,Bli,Patent Application,Shall
116,Bli,One,Assign
117,Event,Service,Acknowledged
118,Bii¬†(On¬†Behalf,Right  Title,Agree
119,Xencor,Right  Title,Agree
120,Xencor,Reasonable  Assistance,Provide Reasonable
121,Intellectual Property Company,Such  Right,Assign To
122,Turpin,Herebyassign,Doe
123,Turpin,Currentrecordsrelating,Agree
124,Turpin,Transfersandassignmentsand  Otherthing,Assist With
125,Applicable  Member,Such Spinco Designee,Cause
126,Each,Reasonable  Effort,Use
127,Applicable  Member,Required  Consent,Continue
128,Otherwise  Parent,Unreleased Spinco Ip Liability,Assign
129,Spinco,42Nd  Edition,Agree
130,You,System,Acknowledge
131,You,Such  Information,Acknowledge
132,You,That,Acknowledge
133,You,Right,Assign To
134,Otherwise  Gsk,Necessary  Theravance,Cooperate As Necessary
135,Fmi,Right,Assign To
136,Case,Sole  Title,Acquire Sole
137,Dialog,Tooling,Transfer To
138,Which,Own  Share,Undertake
139,Kiromic,Right,Assigns To
140,Rubicon,Intellectual Property,Acknowledge
141,Consultants Andagent,‚ Äúwork,Assign To
142,Possible  Innovation,Service,Be
143,Consultant,Work Right,Transfer
144,Consultant,Document,Assist
145,Consultant,Hereby  Officer,Appoint
146,Md Anderson,Written  Disclosure,Make Full
147,Md Anderson,Such  Invention,Acknowledge
148,Md Anderson,Hereby  Transfer,Assign
149,Agent,Right,Acquire
150,V,Right,Assigns To
151,Ppd,Right,Assigns To
152,Lead  Scaffold,Section,Cease
153,Anixa,Annual  Fee,Deemed
154,Ontochem,Compound Library,Own
155,However  Astella,Invention,Owned By
156,So  Astella,Reasonable  Action,Take
157,Party,Right,Acknowledge
158,Party,Part,Made
159,Case  Party,Part,Made
160,Right  Interest,Tothe  Foregoing,Remain
161,Arizona,Entire  Right,Agree
162,Thereof  That,Proceeding,Any
163,Assignor,Further  Assistance,Request
164,Assignor,Further  Assistance,Provide
165,Sony,Sony‚Äôs Entire Sony‚Äôs Right,Assigns To
166,Third  That,Firmware  Code,Entered Into
167,Hsi,All  Right,Assign
168,Party A,Sole  Right,Own
169,3.2 Assignor Party,All,Assigns To
170,Seller,Hereby  Covenant,Seller
171,Seller,Hereby  Transfer,Sell
172,2.1(B)(I  Seller,Other Seller Party,Agrees To
173,Company,Otherwise  Right,Agree
174,Company,Otherwise  Right,Agree
175,Below  Array,Right,Assign
176,So  Ono,Reasonable  Action,Take
177,Achaogen,Right,Retain
178,Microgenic,Right,Retain
179,Achaogen,Discovery,Own
180,‚ Äúachaogen Inventions‚Äù).Microgenic,Invention,Own
181,Microgenic,All  Right,Own
182,That,Reference,Assign
183,Franchisee,Additional  Document,Agree
184,Paragraph 5.12.The Franchisee,Such  Right,Assigns To
185,21  22)You,Such  Idea,Grant
186,I,Right,Have
187,You,Other  Person,Agree
188,You,That,Agree
189,One,Ownership Right,Retain
190,One,Otherwise  Claim,Have
191,Inktomi,[  Interest,Assigns To
192,Project Which,Expressly Bachem Intellectual Property,Owned By
193,Product Customization,Using  Meaning,Be On
194,Iac >,Further  Instrument,Arise Through
195,Iac,Any,Secure
196,Assignor,Hereby  Transfer,Assign
197,Ppi,Domain Name,Transferred
198,Ppi,Ekr,Provide
199,Surgical,Such  Document,Agree
200,Reseller,Right,Tobe
201,Healthgate,Present  Copyright,Assign
202,Recipient,Hereby  Right,Assign
203,Recipient,Right,Grants To
204,Recipient,Further  Documentation,Agree
205,Recipient,Hereby  Right,Assign
206,Recipient,Right,Grants To
207,Recipient,Further  Documentation,Agree
